Date,Home,Gas,Beef,Pork,IncomeMid,IncomeMid,SavingsRate,PctHome,PctGas,PctBeef,PctPork,PctChInL,PctChInM,Years,CPI
1978-08-01,46173.84,0.63,186.1,144.4,4310,14943,0.105,0.923748886,0.75,0.889340102,0.773955774,0.887866842,0.719760617,,65.9
1978-09-01,46658.16,0.63,184.2,145.5,4310,14943,0.106,0.943927196,0.75,0.870050761,0.787469287,0.887866842,0.719760617,,66.5
1978-10-01,47110.78,0.63,184.4,149.4,4310,14943,0.107,0.962784783,0.75,0.872081218,0.835380835,0.887866842,0.719760617,,67.1
1978-11-01,47605.24,0.63,184.6,150.4,4310,14943,0.105,0.983385558,0.75,0.874111675,0.847665848,0.887866842,0.719760617,,67.5
1978-12-01,48169.44,0.63,190.3,150.5,4310,14943,0.104,1.006891923,0.75,0.931979695,0.848894349,0.887866842,0.719760617,,67.9
1979-01-01,48813.5,0.86,201.4,163.14,4602,16428,0.111,1.033725509,1.388888889,1.044670051,1.004176904,1.015768725,0.89066636,,68.5
1979-02-01,49427.14,0.86,211.6,166.21,4602,16428,0.111,1.059291701,1.388888889,1.14822335,1.041891892,1.015768725,0.89066636,,69.2
1979-03-01,50082.62,0.86,222.1,166,4602,16428,0.112,1.08660108,1.388888889,1.254822335,1.039312039,1.015768725,0.89066636,,69.9
1979-04-01,50733.03,0.86,228.8,159.44,4602,16428,0.11,1.113699228,1.388888889,1.32284264,0.958722359,1.015768725,0.89066636,,70.6
1979-05-01,51391.04,0.86,236.1,157.96,4602,16428,0.103,1.141114015,1.388888889,1.396954315,0.940540541,1.015768725,0.89066636,,71.4
1979-06-01,52041.45,0.86,229.6,152.88,4602,16428,0.099,1.168212162,1.388888889,1.330964467,0.878132678,1.015768725,0.89066636,,72.2
1979-07-01,52624.66,0.86,228.3,150.66,4602,16428,0.106,1.192510544,1.388888889,1.317766497,0.850859951,1.015768725,0.89066636,,73
1979-08-01,53154.62,0.86,217.1,143.78,4602,16428,0.097,1.214590361,1.388888889,1.204060914,0.766339066,1.015768725,0.89066636,,73.7
1979-09-01,53604.71,0.86,222.7,143.46,4602,16428,0.094,1.233342541,1.388888889,1.260913706,0.762407862,1.015768725,0.89066636,,74.4
1979-10-01,54080.15,0.86,220.5,142.09,4602,16428,0.097,1.253150882,1.388888889,1.23857868,0.745577396,1.015768725,0.89066636,,75.2
1979-11-01,54468.12,0.86,222.4,139.87,4602,16428,0.097,1.269314945,1.388888889,1.25786802,0.718304668,1.015768725,0.89066636,,76
1979-12-01,54796.49,0.86,228.6,144.21,4602,16428,0.101,1.282995882,1.388888889,1.320812183,0.771621622,1.015768725,0.89066636,,76.9
1980-01-01,55074.15,1.19,230.5,143.15,4790,17701,0.099,1.29456408,2.305555556,1.340101523,0.758599509,1.098116513,1.037173438,,78
1980-02-01,55392.38,1.19,230.8,140.93,4790,17701,0.101,1.307822553,2.305555556,1.343147208,0.731326781,1.098116513,1.037173438,,79
1980-03-01,55865.29,1.19,232.2,141.03,4790,17701,0.102,1.327525486,2.305555556,1.357360406,0.732555283,1.098116513,1.037173438,,80.1
1980-04-01,56388.91,1.19,229.3,135.21,4790,17701,0.113,1.349341159,2.305555556,1.327918782,0.661056511,1.098116513,1.037173438,,80.9
1980-05-01,56788.28,1.19,226.5,130.77,4790,17701,0.114,1.365980182,2.305555556,1.299492386,0.606511057,1.098116513,1.037173438,,81.7
1980-06-01,57133.14,1.19,226.7,131.62,4790,17701,0.112,1.380348146,2.305555556,1.301522843,0.616953317,1.098116513,1.037173438,,82.5
1980-07-01,57529.97,1.19,233.8,144.1,4790,17701,0.113,1.396881345,2.305555556,1.373604061,0.77027027,1.098116513,1.037173438,,82.6
1980-08-01,57865.95,1.19,238.1,154.15,4790,17701,0.113,1.410879339,2.305555556,1.417258883,0.893734644,1.098116513,1.037173438,,83.2
1980-09-01,58147.42,1.19,240.7,159.44,4790,17701,0.117,1.422606273,2.305555556,1.443654822,0.958722359,1.098116513,1.037173438,,83.9
1980-10-01,58387.04,1.19,237.5,161.66,4790,17701,0.113,1.432589604,2.305555556,1.411167513,0.985995086,1.098116513,1.037173438,,84.7
1980-11-01,58621.59,1.19,238.2,165.37,4790,17701,0.116,1.442361702,2.305555556,1.418274112,1.031572482,1.098116513,1.037173438,,85.6
1980-12-01,58853.61,1.19,238.8,162.72,4790,17701,0.114,1.452028393,2.305555556,1.424365482,0.999017199,1.098116513,1.037173438,,86.4
1981-01-01,59034.91,1.31,235.4,160.29,5053,18991,0.109,1.459581927,2.638888889,1.389847716,0.969164619,1.213315813,1.185637012,,87.2
1981-02-01,59272,1.31,233.5,157.01,5053,18991,0.108,1.469459849,2.638888889,1.370558376,0.928869779,1.213315813,1.185637012,,88
1981-03-01,59625.73,1.31,231.6,154.68,5053,18991,0.108,1.484197365,2.638888889,1.351269036,0.9002457,1.213315813,1.185637012,,88.6
1981-04-01,60156.96,1.31,227,150.98,5053,18991,0.109,1.506330095,2.638888889,1.304568528,0.854791155,1.213315813,1.185637012,,89.1
1981-05-01,60575.35,1.31,230.3,153.3,5053,18991,0.11,1.523761552,2.638888889,1.338071066,0.883292383,1.213315813,1.185637012,,89.7
1981-06-01,60967.12,1.31,234.8,155.1,5053,18991,0.108,1.540083935,2.638888889,1.383756345,0.905405405,1.213315813,1.185637012,,90.5
